,route_acc,type_acc,climate_acc,day_acc,month_acc,years_acc,scene_acc,road_surface,time_acc,level_acc
3090,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,1,2,2021,ทางโค้งกว้าง,ไม่มีความลาดชัน,4,DIE
3262,ดาวคะนอง -  แสมดำ,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,9,3,2021,ทางตรง,ไม่มีความลาดชัน,4,DIE
3272,รามอินทรา-อาจณรงค์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,11,3,2021,ทางตรง,,0,DIE
3316,บางนา - ทางเข้าท่าอากาศยานสุวรรณภูมิ,รถบรรทุก 6 ล้อ,แจ่มใส,19,3,2021,ทางตรง,ไม่มีความลาดชัน,1,DIE
3339,ถนนกัลปพฤกษ์,รถจักรยานยนต์,แจ่มใส,26,3,2021,ทางตรง,ไม่มีความลาดชัน,1,DIE
3376,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,3,4,2021,ทางตรง,ไม่มีความลาดชัน,0,DIE
3379,ถนนกัลปพฤกษ์,รถจักรยานยนต์,แจ่มใส,3,4,2021,ทางตรง,ไม่มีความลาดชัน,3,DIE
3399,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,7,4,2021,ทางตรง,ไม่มีความลาดชัน,4,DIE
3414,งามวงศ์วาน - ดอนเมือง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,10,4,2021,ทางตรง,ไม่มีความลาดชัน,0,DIE
3443,รามอินทรา-อาจณรงค์,รถตู้,แจ่มใส,14,4,2021,ทางตรง,,2,DIE
3567,แขวงรามอินทรา - บางพลี,รถบรรทุก 6 ล้อ,แจ่มใส,21,5,2021,ทางตรง,ไม่มีความลาดชัน,1,DIE
3585,ถนนราชพฤกษ์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,29,5,2021,ทางตรง,ไม่มีความลาดชัน,1,DIE
3725,บางนา - แบริ่ง,รถจักรยานยนต์,แจ่มใส,24,7,2021,,,4,DIE
3757,ดาวคะนอง-ท่าเรือ,,แจ่มใส,29,7,2021,ทางแยกต่างระดับ/Ramps,,0,DIE
3813,พญาไท-ศรีนครินทร์,,แจ่มใส,22,8,2021,ทางตรง,,2,DIE
3842,ถนนราชพฤกษ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ฝนตก,29,8,2021,ทางตรง,ไม่มีความลาดชัน,1,DIE
3854,งามวงศ์วาน - ดอนเมือง,รถจักรยานยนต์,แจ่มใส,31,8,2021,ทางตรง,ไม่มีความลาดชัน,4,DIE
3997,สะพานภูมิพลที่ 1 ไปสะพานภูมิพลที่ 2,รถจักรยานยนต์,แจ่มใส,8,10,2021,ทางโค้งกว้าง,ที่ลาดชัน,4,DIE
4086,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,24,10,2021,ทางตรง,ไม่มีความลาดชัน,2,DIE
4090,ถนนกัลปพฤกษ์,รถจักรยานยนต์,แจ่มใส,25,10,2021,ทางตรง,ไม่มีความลาดชัน,4,DIE
4150,แขวงรามอินทรา - บางพลี,คนเดินเท้า,แจ่มใส,7,11,2021,ทางตรง,ไม่มีความลาดชัน,3,DIE
4160,บางนา-ท่าเรือ,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,9,11,2021,ทางตรง,,4,DIE
4182,ดินแดง - งามวงศ์วาน,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,15,11,2021,,,4,DIE
4196,ดินแดง-ท่าเรือ,รถบรรทุก 6 ล้อ,แจ่มใส,18,11,2021,ทางตรง,,0,DIE
4275,งามวงศ์วาน - ดอนเมือง,รถจักรยานยนต์,แจ่มใส,1,12,2021,,,0,DIE
4290,สะพานภูมิพลที่ 1 ไปสะพานภูมิพลที่ 2,รถจักรยานยนต์,แจ่มใส,4,12,2021,ทางตรง,ที่ลาดชัน,2,DIE
4323,ออกจากสะพานภูมิพลที่ 2 ไปถนนวงแหวนอุตสาหกรรม,รถจักรยานยนต์,แจ่มใส,12,12,2021,ทางโค้งหักศอก,ที่ลาดชัน,1,DIE
4338,งามวงศ์วาน - ดอนเมือง,รถจักรยานยนต์,แจ่มใส,15,12,2021,ทางตรง,ไม่มีความลาดชัน,1,DIE
4353,พญาไท-ศรีนครินทร์,,แจ่มใส,18,12,2021,ทางตรง,,0,DIE
4374,พญาไท-ศรีนครินทร์,,แจ่มใส,21,12,2021,ทางโค้งกว้าง,,4,DIE
4466,พระประแดง - บางแค,รถจักรยานยนต์,แจ่มใส,3,1,2022,ทางโค้งกว้าง,ไม่มีความลาดชัน,4,DIE
4509,แขวงรามอินทรา - บางพลี,รถจักรยานยนต์,แจ่มใส,15,1,2022,ทางตรง,ไม่มีความลาดชัน,0,DIE
4554,ดาวคะนอง-ท่าเรือ,รถบรรทุกมากกว่า 6 ล้อ ไม่เกิน 10 ล้อ,แจ่มใส,25,1,2022,ทางแยกต่างระดับ/Ramps,,0,DIE
4574,ดินแดง-ท่าเรือ,,แจ่มใส,30,1,2022,ทางตรง,,0,DIE
4674,สะพานกรุงเทพฯ,รถจักรยานยนต์,แจ่มใส,23,2,2022,ทางตรง,ไม่มีความลาดชัน,4,DIE
4780,อุดมสุข - สมุทรปราการ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,23,3,2022,,,1,DIE
4835,บางปะอิน - แขวงรามอินทรา,รถบรรทุก 6 ล้อ,แจ่มใส,1,4,2022,ทางตรง,ไม่มีความลาดชัน,3,DIE
4998,มีนบุรี - แยกเคหะร่มเกล้า,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,5,5,2022,ทางตรง,ไม่มีความลาดชัน,0,DIE
5031,พระประแดง - บางแค,รถจักรยานยนต์,แจ่มใส,13,5,2022,ทางเชื่อมเข้าพื้นที่สาธารณะ/เชิงพาณิชย์,,4,DIE
5042,พระประแดง - บางแค,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,14,5,2022,ทางตรง,ไม่มีความลาดชัน,4,DIE
5198,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,19,6,2022,ทางตรง,ไม่มีความลาดชัน,4,DIE
5199,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,20,6,2022,ทางตรง,ไม่มีความลาดชัน,0,DIE
5205,แขวงรามอินทรา - บางพลี,รถบรรทุก 6 ล้อ,แจ่มใส,21,6,2022,ทางตรง,ไม่มีความลาดชัน,4,DIE
5273,สะพานภูมิพลที่ 1 ไปสะพานภูมิพลที่ 2,รถจักรยานยนต์,แจ่มใส,7,7,2022,ทางตรง,ที่ลาดชัน,4,DIE
5328,สะพานภูมิพลที่ 2 ไปสะพานภูมิพลที่ 1,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,16,7,2022,ทางตรง,ไม่มีความลาดชัน,1,DIE
5333,พระประแดง - บางแค,รถจักรยานยนต์,แจ่มใส,16,7,2022,,,3,DIE
5369,ดาวคะนอง-ท่าเรือ,,แจ่มใส,23,7,2022,ทางโค้งกว้าง,,1,DIE
5432,แยกเข้ามีนบุรี - คลองหลวงแพ่ง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,4,8,2022,ทางตรง,ไม่มีความลาดชัน,4,DIE
5437,อรุณอมรินทร์ - พุทธมณฑลสาย 4,คนเดินเท้า,แจ่มใส,5,8,2022,ทางตรง,ไม่มีความลาดชัน,3,DIE
5562,สะพานภูมิพลที่ 1 ไปสะพานภูมิพลที่ 2,รถจักรยานยนต์,แจ่มใส,29,8,2022,ทางตรง,ที่ลาดชัน,4,DIE
5617,จุดเชื่อมต่อสะพานภูมิพลที่ 1 เข้าถนนวงแหวนอุตสาหกรรม,รถจักรยานยนต์,แจ่มใส,9,9,2022,ทางแยกต่างระดับ/Ramps,,3,DIE
5655,แขวงรามอินทรา - บางพลี,รถบรรทุกมากกว่า 6 ล้อ ไม่เกิน 10 ล้อ,แจ่มใส,17,9,2022,ทางตรง,ไม่มีความลาดชัน,1,DIE
5716,สะพานภูมิพลที่ 1 ไปสะพานภูมิพลที่ 2,รถจักรยานยนต์,แจ่มใส,28,9,2022,ทางตรง,ที่ลาดชัน,0,DIE
